Date,Start,Visitor/Neutral,Home/Neutral
Mon Dec 27 2021,10:00p,Dallas Mavericks,Portland Trail Blazers
Mon Dec 27 2021,10:30p,Brooklyn Nets,Los Angeles Clippers
Tue Dec 28 2021,7:00p,Milwaukee Bucks,Orlando Magic
Tue Dec 28 2021,7:30p,Washington Wizards,Miami Heat
Tue Dec 28 2021,7:30p,Philadelphia 76ers,Toronto Raptors
Tue Dec 28 2021,8:00p,Los Angeles Lakers,Houston Rockets
Tue Dec 28 2021,8:00p,New York Knicks,Minnesota Timberwolves
Tue Dec 28 2021,8:00p,Cleveland Cavaliers,New Orleans Pelicans
Tue Dec 28 2021,10:00p,Denver Nuggets,Golden State Warriors
Tue Dec 28 2021,10:00p,Oklahoma City Thunder,Sacramento Kings
Wed Dec 29 2021,7:00p,New York Knicks,Detroit Pistons
Wed Dec 29 2021,7:00p,Charlotte Hornets,Indiana Pacers
Wed Dec 29 2021,7:30p,Los Angeles Clippers,Boston Celtics
Wed Dec 29 2021,8:00p,Atlanta Hawks,Chicago Bulls
Wed Dec 29 2021,8:00p,Los Angeles Lakers,Memphis Grizzlies
Wed Dec 29 2021,8:30p,Miami Heat,San Antonio Spurs
Wed Dec 29 2021,9:00p,Oklahoma City Thunder,Phoenix Suns
Wed Dec 29 2021,10:00p,Utah Jazz,Portland Trail Blazers
Wed Dec 29 2021,10:30p,Dallas Mavericks,Sacramento Kings
Thu Dec 30 2021,7:00p,Philadelphia 76ers,Brooklyn Nets
Thu Dec 30 2021,7:00p,Milwaukee Bucks,Orlando Magic
Thu Dec 30 2021,7:00p,Cleveland Cavaliers,Washington Wizards
Thu Dec 30 2021,9:30p,Golden State Warriors,Denver Nuggets
Fri Dec 31 2021,1:00p,Phoenix Suns,Boston Celtics
Fri Dec 31 2021,3:00p,Chicago Bulls,Indiana Pacers
Fri Dec 31 2021,6:00p,Dallas Mavericks,Sacramento Kings
Fri Dec 31 2021,7:00p,Miami Heat,Houston Rockets
Fri Dec 31 2021,7:30p,Atlanta Hawks,Cleveland Cavaliers
Fri Dec 31 2021,7:30p,Los Angeles Clippers,Toronto Raptors
Fri Dec 31 2021,8:00p,San Antonio Spurs,Memphis Grizzlies
Fri Dec 31 2021,8:00p,New York Knicks,Oklahoma City Thunder
Fri Dec 31 2021,9:00p,Minnesota Timberwolves,Utah Jazz
Fri Dec 31 2021,10:30p,Portland Trail Blazers,Los Angeles Lakers
Sat Jan 1 2022,6:30p,New Orleans Pelicans,Milwaukee Bucks
Sat Jan 1 2022,7:00p,San Antonio Spurs,Detroit Pistons
Sat Jan 1 2022,7:00p,Chicago Bulls,Washington Wizards
Sat Jan 1 2022,7:30p,Los Angeles Clippers,Brooklyn Nets
Sat Jan 1 2022,8:00p,Denver Nuggets,Houston Rockets
Sat Jan 1 2022,9:00p,Golden State Warriors,Utah Jazz
Sun Jan 2 2022,3:30p,New York Knicks,Toronto Raptors
Sun Jan 2 2022,6:00p,Orlando Magic,Boston Celtics
Sun Jan 2 2022,6:00p,Indiana Pacers,Cleveland Cavaliers
Sun Jan 2 2022,6:00p,Miami Heat,Sacramento Kings
Sun Jan 2 2022,7:00p,Phoenix Suns,Charlotte Hornets
Sun Jan 2 2022,7:00p,Dallas Mavericks,Oklahoma City Thunder
Sun Jan 2 2022,9:30p,Minnesota Timberwolves,Los Angeles Lakers
Mon Jan 3 2022,7:00p,Houston Rockets,Philadelphia 76ers
Mon Jan 3 2022,7:00p,Charlotte Hornets,Washington Wizards
Mon Jan 3 2022,7:30p,Memphis Grizzlies,Brooklyn Nets
Mon Jan 3 2022,8:00p,Orlando Magic,Chicago Bulls
Mon Jan 3 2022,8:00p,Detroit Pistons,Milwaukee Bucks
Mon Jan 3 2022,8:00p,Utah Jazz,New Orleans Pelicans
Mon Jan 3 2022,8:30p,Denver Nuggets,Dallas Mavericks
Mon Jan 3 2022,10:00p,Miami Heat,Golden State Warriors
Mon Jan 3 2022,10:00p,Atlanta Hawks,Portland Trail Blazers
Mon Jan 3 2022,10:30p,Minnesota Timberwolves,Los Angeles Clippers
Tue Jan 4 2022,7:00p,Memphis Grizzlies,Cleveland Cavaliers
Tue Jan 4 2022,7:00p,San Antonio Spurs,Toronto Raptors
Tue Jan 4 2022,7:30p,Indiana Pacers,New York Knicks
Tue Jan 4 2022,8:00p,Phoenix Suns,New Orleans Pelicans
Tue Jan 4 2022,10:30p,Sacramento Kings,Los Angeles Lakers
Wed Jan 5 2022,7:00p,Detroit Pistons,Charlotte Hornets
Wed Jan 5 2022,7:00p,Philadelphia 76ers,Orlando Magic
Wed Jan 5 2022,7:00p,Houston Rockets,Washington Wizards
Wed Jan 5 2022,7:30p,San Antonio Spurs,Boston Celtics
Wed Jan 5 2022,7:30p,Golden State Warriors,Dallas Mavericks
Wed Jan 5 2022,7:30p,Brooklyn Nets,Indiana Pacers
Wed Jan 5 2022,8:00p,Toronto Raptors,Milwaukee Bucks
Wed Jan 5 2022,8:00p,Oklahoma City Thunder,Minnesota Timberwolves
Wed Jan 5 2022,10:00p,Utah Jazz,Denver Nuggets
Wed Jan 5 2022,10:00p,Miami Heat,Portland Trail Blazers
Wed Jan 5 2022,10:00p,Atlanta Hawks,Sacramento Kings
