gmDate,gmTime,homeAbbr,awayAbbr,home1x2FirstOptionRate,away1x2FirstOptionRate,home1x2LastOptionRate,away1x2LastOptionRate,home1x2FirstWinRate,away1x2FirstWinRate,home1x2LastWinRate,away1x2LastWinRate,home1x2FirstRTP,away1x2LastRTP,home1x2KellyIndex,away1x2KellyIndex,OverFirstOptionRate,UnderFirstOptionRate,OverUnderFirstSpecialBetValue,OverLastOptionRate,UnderLastOptionRate,OverUnderLastSpecialBetValue,SourceUrl
2015/11/07,09:00,New Orleans Pelicans,Atlanta Hawks,2.35,1.64,2.25,1.68,41.10,58.90,42.75,57.25,96.58,96.19,0.97,0.96,0.90,0.90,204.5,0.90,0.90,206.5,http://nba.win007.com/1x2/oddslist/218791.htm
2015/11/07,10:30,Phoenix Suns,Detroit Pistons,1.50,2.70,1.54,2.65,64.29,35.71,63.25,36.75,96.44,97.40,0.99,0.95,0.90,0.90,200.5,0.90,0.90,198.5,http://nba.win007.com/1x2/oddslist/218792.htm
2015/11/07,11:30,Sacramento Kings,Houston Rockets,3.10,1.40,2.67,1.52,31.11,68.89,36.28,63.72,96.44,96.87,0.96,0.97,0.90,0.90,215,0.90,0.90,218,http://nba.win007.com/1x2/oddslist/218793.htm
2015/11/07,11:30,Golden State Warriors,Denver Nuggets,1.01,18.00,,,94.69,5.31,,,95.64,,0.95,1.08,0.90,0.90,214.5,0.90,0.90,211,http://nba.win007.com/1x2/oddslist/218794.htm
2015/11/08,07:00,Chicago Bulls,Minnesota Timberwolves,1.19,5.00,,,80.78,19.22,,,96.13,,0.95,1.00,0.90,0.90,198.5,0.90,0.90,201.5,http://nba.win007.com/1x2/oddslist/218795.htm
2015/11/08,08:00,Philadelphia 76ers,Orlando Magic,2.50,1.58,2.35,1.64,38.73,61.27,41.10,58.90,96.82,96.58,0.96,0.97,0.90,0.90,193.5,0.90,0.90,191,http://nba.win007.com/1x2/oddslist/218796.htm
2015/11/08,08:30,Atlanta Hawks,Washington Wizards,1.58,2.50,1.54,2.65,61.27,38.73,63.25,36.75,96.81,97.40,0.97,0.98,0.90,0.90,204.5,0.90,0.90,206,http://nba.win007.com/1x2/oddslist/218797.htm
2015/11/08,09:30,Milwaukee Bucks,Brooklyn Nets,1.43,2.90,1.36,3.25,66.97,33.03,70.50,29.50,95.77,95.88,0.95,0.98,0.90,0.90,194,0.90,0.90,192.5,http://nba.win007.com/1x2/oddslist/218798.htm
2015/11/08,09:30,San Antonio Spurs,Charlotte Hornets,1.16,5.50,1.19,5.00,82.58,17.42,80.78,19.22,95.79,96.13,0.96,0.95,0.90,0.90,194,0.90,0.90,193.5,http://nba.win007.com/1x2/oddslist/218799.htm
2015/11/08,09:30,Dallas Mavericks,New Orleans Pelicans,1.45,2.80,,,65.88,34.12,,,95.53,,0.94,0.98,0.95,0.86,209.5,0.90,0.90,211.5,http://nba.win007.com/1x2/oddslist/218800.htm
2015/11/08,10:00,Utah Jazz,Memphis Grizzlies,1.86,1.95,1.71,2.20,51.18,48.82,56.27,43.73,95.19,96.22,0.94,0.99,0.90,0.90,180.5,0.90,0.90,180,http://nba.win007.com/1x2/oddslist/218801.htm
2015/11/08,11:00,Sacramento Kings,Golden State Warriors,11.00,1.05,,,8.71,91.29,,,95.81,,0.99,0.96,0.90,0.90,218.5,0.90,0.90,220.5,http://nba.win007.com/1x2/oddslist/218802.htm
2015/11/08,11:30,Los Angeles Clippers,Houston Rockets,1.26,4.00,1.43,2.90,76.05,23.95,66.97,33.03,95.82,95.77,1.00,0.87,0.90,0.90,218,0.90,0.90,212,http://nba.win007.com/1x2/oddslist/218803.htm
2015/11/09,04:30,New York Knicks,Los Angeles Lakers,1.50,2.70,1.43,2.90,64.29,35.71,66.97,33.03,96.44,95.77,0.94,0.99,0.90,0.90,209,0.90,0.90,210.5,http://nba.win007.com/1x2/oddslist/218804.htm
2015/11/09,04:30,Cleveland Cavaliers,Indiana Pacers,1.32,3.50,1.23,4.25,72.61,27.39,77.55,22.45,95.85,95.39,0.93,1.02,0.90,0.90,197,0.90,0.90,197,http://nba.win007.com/1x2/oddslist/218805.htm
2015/11/09,07:00,Miami Heat,Toronto Raptors,1.71,2.20,1.68,2.25,56.27,43.73,57.25,42.75,96.22,96.18,0.96,0.97,0.90,0.90,190.5,0.90,0.90,191,http://nba.win007.com/1x2/oddslist/233886.htm
2015/11/09,08:00,Oklahoma City Thunder,Phoenix Suns,1.23,4.25,1.22,4.50,77.55,22.45,78.67,21.33,95.39,95.98,0.95,0.99,0.90,0.90,212,0.90,0.90,212,http://nba.win007.com/1x2/oddslist/218806.htm
2015/11/09,10:00,Portland Trail Blazers,Detroit Pistons,1.80,2.05,1.76,2.10,53.25,46.75,54.40,45.60,95.85,95.74,0.95,0.97,0.90,0.90,197,0.90,0.90,199.5,http://nba.win007.com/1x2/oddslist/218807.htm
